BAKIN　サンプルゲーム	BAKIN Sample Game
精霊の剣を入手した！\nさっそく装備しよう！	You got the Spirit Sword! \nLet's equip it right away!
この滝の上に精霊の剣があるって言ってたな…	He said there's the Spirit Sword at the top of this waterfall...
ん？　なんの音だ……？	Hmm?　What's that noise......?
\NPL[???]精霊の剣を手にした者よ…\!\nその力を我に示して見せよ！	\NPL[???]Whoever holds the Spirit Sword in their hands...\!\nShow me your power!
ゴゴゴゴ	Rumble
\i滝壺から何かが近づいて来る！\w[5]\^	Something is approaching from the waterfall basin!\w[5]\^
\NPL[剣の番人]見事な戦いぶりであった。	\NPL[Sword Keeper]It was a splendid battle.
\NPL[剣の番人]行け…\nその剣でこの世の闇を払うのだ！	\NPL[Sword Keeper]Go... \nand use that sword to dispel the darkness of this world!
剣の番人に勝利した	Victory over the Sword Keeper
\NPL[剣の番人]まだまだ修業が足りぬようだな…	\NPL[Sword Keeper]It seems you still have a lot of training to do...
\NPL[剣の番人]しかし行け…\!\nこの剣と共にこの世の闇を払うのだ！	\NPL[Sword Keeper]But go... \!\nand with this sword, dispel the darkness of this world!
修行が足りぬようだな…\n精霊の剣を装備していないとか・・・	You're not trained enough... \nor you're not equipped with the Spirit Sword...
\NPL[エリザベータ]\lipspd[0.6]この洞窟のどこかにある精霊石を持ってなければ\n先には進めないよ！	\NPL[Elisabeta]\lipspd[0.6]We can't go on unless we have the spirit stone somewhere in this cave!
炎の精霊石を手に入れた！	We got the Spirit Stone of Fire!
炎の精霊石を見つけた!	We fousyubend the Spirit Stone of Fire!
しかし炎の精霊石をこれ以上持てなかったので、\n宝箱に戻した。	However, we couldn't have the Spirit Stone of Flame, so we put it back in the treasure chest.
しかしアイテム袋がいっぱいなので、\n炎の精霊石を宝箱に戻した。	But the inventory bag was full, so we put the Spirit Stone of Flame back in the treasure chest.
宝箱はすでに空っぽだ…	The treasure chest is already empty...
\i\>埋められた石版にはこう書いてある	\i\>The buried stone tablet says...
\i「イフリートの力が宿る精霊石を持つ者\n　汝を　精霊女王の使いと認める」	\i"Those of you who possess the spirit stone that holds the power of the Efreet, you are recognized as messengers of the Queen of Spirits."
\iここには何かありそうだ。周りをよく見てみよう。\n\n\n\iキーボードやコントローラーを使ってカメラを動かして洞窟の中をよく探してみましょう	\iThere might be something here. Let's take a closer look around.\n\n\iUse the keyboard or controller to move the camera and search the cave well.
石版のメッセージを読んだ。	He reads the message on the tablet.
\i石版にはこう書いてある。\!\n「イフリートの力が宿る精霊石をもつもの\n 汝を　精霊女王の使いと認める」	The buried stone tablet says...\n"Those of you who possess the spirit stone that holds the power of the Efreet, you are recognized as messengers of the Queen of Spirits."
\NPR[ルナ]\lipspd[0.6]あれ、動かない…	\NPR[Luna]\lipspd[0.6]Oh, it's not working...
\NPL[エリザベータ]\lipspd[0.6]動かすためのカギが足りないみたいだね。	\NPL[Elisabeta]\lipspd[0.6]Looks like we're missing a key to move it.
カギを探さないと	We have to find the key.
\NPR[ルナ]\lipspd[0.6]うわっ、動いたよ！	\NPR[Luna]\lipspd[0.6]Whoa, it's working!
\NPL[エリザベータ]\lipspd[0.6]ここはもういいから、先を急ごう！	\NPL[Elisabeta]\lipspd[0.6]We're done here. Let's move on!
古代のカギを手に入れた！	You got the Ancient Key!
ネムの滝は　西側のほうだったな。	Nem Falls is on the west side, I think.
サイラス先生のところにいかなきゃ！	I have to get to Mr. Cyrus!
おっと　サイラス先生に呼ばれてるんだった！	Oops, Mr. Cyrus wanted to see me!
さて・・・そろそろ教会に向かうか。\w[2]	Well... I guess I better be headed to the church.\w[2]
\i寄り道は後でしよう！	Let's stop by later!
ベムス「ケンさん　どちらへ行かれるのですかな？	Bemus: "Mr. Ken, where are you off to?"
精霊の宝珠を取りにいく	Getting the Spirit Orb
適当にごまかす	... Just taking a walk.
「おお、そうですか！　\n 持ってきたら　ぜひとも私にも見せてくださいね。	"Oh, I see!　\nWhen you get it, please be sure to show it to me."
「どちらに行かれるが存じ上げませんが\n　道中気をつけて…　\n　	"I don't know where you're going, but be careful on the way..." \n
看板を読む	Read the sign
\iこの奥危険\w[2]\^	\iDanger Ahead\w[2]\^
\iん？はじっこに何か書いてあるぞ	\iHmm? There's something written at the edge.
サイラス先生に剣を見せに行かないと！	I have to go show Mr. Cyrus my sword!
\i北：氷の洞窟（工事中につき通行不可）\n西：ネムの滝（足元注意！）	\iNorth: Ice Cave (Under Construction) \nWest: Nem Falls ( Watch your step! )
\iここはセーブポイントです。\n	\iThis is a save point. \n
\i「セーブの許可/禁止」イベントと組み合わせることで\nセーブポイントでだけセーブができるようなゲームを作ることもできます。	\iBy combining this with the "Enable/ Disable Save" event, you can create a game where the player can only save at save points.
\NPL[グレイ]やあ　ケン\!\nサイラスさんなら中でお待ちだよ。　\NPL[Gray]Hey, Ken!\nMr. Cyrus is waiting for you inside.　
\NPL[グレイ]村の外は危ないから気をつけてな。	\NPL[Gray]Be careful outside the village, it's dangerous.
\NPL[おじいさん]村のどこかに大事なことをメモしとったんじゃが\n何を書いたか忘れてしもうての…\n\nそれが気になって居てもたってもいられんのじゃ…	\NPL[Old Man]I scribbled down something important somewhere in the village, but I forgot what I wrote...\n\nThat's what's bothering me...
\>村の中を探しておじいさんのメモを見つけてあげよう！\<	\>Let's search the village and find the old man's memo for him!\<
\NPL[おじいさん]お、何かわかったかの？	\NPL[Old Man]Oh, did you find out?
はい	Yes
いいえ	No
\NPL[おじいさん]おぉ…は、はやく教えてくれい。	\NPL[Old Man]Oh...hurry up and tell me!
おじいさんのメモ	Old Man's Memo
\>バンダナをもらった。\<	\>He gave you a bandana.\<
\NPL[おじいさん]コレを頭にまいとけば\nお前の人気も爆上がりだぞい！	\NPL[Old Man]If you wear this on your head, \nyour popularity will skyrocket!
おじいさんの謎が解けた	You've solved the old man's problem.
\NPL[おじいさん]\$[おじいさんのメモ]\w[2]\nん……なんか違うのぅ…\n\nすまんが、また何かわかったら教えとくれ。	\NPL[Old Man]\$[Old man's memo]\w[2]\n...... Something's not right...\n\nThanks, but let me know if you find anything else.
\NPL[おじいさん]そうか…\n何だったかのぅ…	\NPL[Old Man]Well... I wonder what it was...
\NPL[おじいさん]BAKIN…\w[2]	\NPL[Old Man]BAKIN... \w[2]
\NPL[おじいさん]\z[150]それじゃーーーー！	\NPL[Old Man]\z[150]That's it!!!!
\NPL[おじいさん]いや、助かったわい。\!\nお礼にワシが若いころ使っとったコイツをあげよう。	\NPL[Old Man]Thank you for your help! \nI'll give you this that I used to use when I was young.
\NPL[おじいさん]おかげさんで頭がスッキリしていい気分じゃよ！	\NPL[Old Man]Thanks to you, my head is clearer and I feel better.
パワフルきのこを手に入れた！	You got a powerful mushroom!
\NPL[ベムス]ホッホッホッ、ケンさん…\!\n冒険に\w[1]\z[120]出ようとされてますよね！	\NPL[Bemus]Hohoho, Mr. Ken... \!\nYou're about to have an \w[1]\z[120]adventure!
そうなんです	That's right.
\NPL[ベムス]それならばもっとちゃんとした装備をしていかないと！\!\nこのベムスの店に寄っていきなさい！	\NPL[Bemus]Then you need to be more properly equipped!\nStop by this Bemus' shop!
\NPL[ベムス]ただの散歩とはいえ町の外で油断は禁物！\!\nいざという時のために、このベムスの店で装備を整えていきなさい！	\NPL[Bemus]Even if it's just a walk, you can't be too careful out of village! \!\nCome to Bemus' shop and get your gear ready for when the time comes!
\NPL[ベムス]くれぐれも気をつけて！\!\nホッホッホッ…	\NPL[Bemus]Careful out there! \!\nHohoho...
\NPL[ベムス]さぁ、早くいきなさい！\!時は金なり！	\NPL[Bemus]Now, go, go, go! \!Time is money!
\NPL[???]まだ早い。	\NPL[???]It's still early.
男は何を聞いてもしゃべってくれない…	The man won't talk no matter what you ask...
\NPR[ルナ]\lipspd[0.6]ねぇ、ケン！\!\nなんか面白そうなことしてるでしょ…！\n\n\lipspd[0.7]このルナさんも混ぜてよ！\!\nちょうどヒマしてるからさー。	\NPR[Luna]\lipspd[0.6]Hey, Ken! \!\nYou look like you're doing something exciting...!\n\n\lipspd[0.7]Count me in! \!\nI'm not busy at the moment.
わかったよ	Okay, sure
…ダメ。	...No
\NPR[ルナ]\lipspd[0.6]イイね~さすがケン！\!\n私、かなり使えるから！	\NPR[Luna]\lipspd[0.6]Great, that's Ken I know! \!\nI can be pretty useful!
ルナが仲間になった！	Luna has joined our party!
\NPR[ルナ]\lipspd[0.6]じ、冗談だよね…ケン。\!\n私の魔法、必要でしょ!?	\NPR[Luna]\lipspd[0.6]You're kidding, right, Ken!? \!\nYou need my magic!
どう断ってもついてくると言って聞かないようだ…\!\nあきらめよう…	No matter how hard you try to refuse her, she just won't stop saying she'll come with you... \!\nYou just need to give up...
\NPR[ルナ]\lipspd[0.6]やっぱ、わかってくれると思ってたー！\!\nじゃ、早速行こうよ！	\NPR[Luna]\lipspd[0.6]I knew you'd understand! \!\nThen let's get going!
くーん	*sniff*
ネムの滝は西側のほうだったな。	Nem Falls is on the west side, I think.
\NPL[???]\lipspd[0.6]お前がサイラスのいってたヤツか。	\NPL[???]\lipspd[0.6]So you're the one Cyrus was talking about.
\NPL[エリザベータ]\lipspd[0.6]悪いけどちょっと腕前を見せてもらうよ！\w[1]\^	\NPL[Elisabeta]\lipspd[0.6]Let's just see how good you are!\w[1]\^
\NPL[エリザベータ]\lipspd[0.6]なかなかやるね…	\NPL[Elisabeta]\lipspd[0.6]You're good.
\NPL[エリザベータ]\lipspd[0.6]私、エリザベータ。	\NPL[Elisabeta]\lipspd[0.6]I'm Elisabeta.
\NPL[エリザベータ]\lipspd[0.6]まだまだ見たいだけど、まぁいいだろう…	\NPL[Elisabeta]\lipspd[0.6]I'd like to see more, but that's okay...
\NPR[ルナ]\lipspd[0.6]付いてこなくていいのに…！	\NPR[Luna]\lipspd[0.6]You don't have to come with us...!
\NPL[エリザベータ]\lipspd[0.6]まーまー、よろしくね！	\NPL[Elisabeta]\lipspd[0.6]Hey, more the merrier, right?
\iエリザベータが仲間に加わった！	\iElisabeta has joined our party!
\NPR[ルナ]\lipspd[0.6]こんな大きな岩が入口をふさいでるなんて…\!\nどうしよう…	\NPR[Luna]\lipspd[0.6]I can't believe there's this huge rock blocking the entrance... \!\nWhat do we do?
\NPL[エリザベータ]\lipspd[0.6]ケン、さっきの精霊石を強く握って！	\NPL[Elisabeta]\lipspd[0.6]Ken, hold on tight to that spirit stone just we got!
\i握りしめた精霊石が光を放つ！	The spirit stone in your grip shines!
\NPR[ルナ]\lipspd[0.6]スゴイ！開いたよ！	\NPR[Luna]\lipspd[0.6]Awesome! It works!
\NPL[エリザベータ]\lipspd[0.6]さあ、中へ急ごう！	\NPL[Elisabeta]\lipspd[0.6]Come on, let's hurry inside!
\i大地の宝珠を手に入れた！\nサイラス先生に届けよう！	\iYou've got the Earth Orb! \nLet's get it to Mr. Cyrus!
\NPL[???]\z[150]ホッホッホッ…	\NPL[???]\z[150]Hohoho...
\NPL[???]よくぞ私をここまで導いてくれました。\!\nお礼を言いますよ、ケンさん。	\NPL[???]You have done well to lead me here. \!\nI thank you, Mr. Ken.
\NPL[ルナ]\lipspd[0.6]あ、あなたは…!!	\NPL[Luna]\lipspd[0.6]Oh, you're...!
\NPL[ベムス]表の顔はただの商店のオヤジ。\n\n\nですが、本当の私は竜王タマズサ様に…\!\nもっとも頼りとされている誇り高き眷属。	\NPL[Bemus]On the public face, I am just an old man in a store.\n\n\nBut the truth is that I am a proud family member who is most relied upon by the Dragon King Tamazusa.
\NPL[ベムス]あなたたちにもう用はありません！\!\n残念ですがここで死んでもらいますよ！	\NPL[Bemus]I have no more use for you people! \!\nI'm afraid you'll have to die here!
\NPL[ベムス]グフッ…\w[1]\n人間にしてはなかなかやりますね……\n\n次に会うときは、こうはいきませんよ！	\NPL[Bemus]Guffaw... \w[1]\nYou're pretty good for human......\n\nThe next time we meet, it won't be like this!
\NPL[ルナ]\lipspd[0.6]怪しいと思ってたけど…\!\nまさか竜の一族だったなんて…	\NPL[Luna]\lipspd[0.6]I thought he was suspicious...\!\nbut I never thought he was a member of the dragon family...
\NPL[エリザベータ]\lipspd[0.6]村に帰って、サイラスに会おう。\w[3]\^	\NPL[Elisabeta]\lipspd[0.6]Let's go back to the village and see Cyrus.\w[3]\^
\NPL[ベムス]ホッホッホッ…\!\n人間にしては　なかなかの実力のようですが\n\n私の敵ではなかったようですねぇ…	\NPL[Bemus]Hohoho...\!\nYou seem to be pretty good for human,\n\nbut I guess you're not my enemy...
ケンよ……再び立ち上がるのです！	Ken, ...... rise again!
\NPL[ベムス]あなたたちにもう用はありません！\!\n残念ですが、ここで死んでもらいますよ！	\NPL[Bemus]I have no more use for you people! \!\nI'm afraid you'll have to die here!
\iサイラス先生に報告しよう！	\iLet's report to Mr. Cyrus!
\NPR[ルナ]\lipspd[0.6]また行き止まりになってるよ…	\NPR[Luna]\lipspd[0.6]It's another dead end...
\NPL[エリザベータ]\lipspd[0.6]あの光っているところ、何か怪しいな…	\NPL[Elisabeta]\lipspd[0.6]There's something fishy about that glowing thing...
\NPR[ルナ]\lipspd[0.6]あ…あれ見て！	\NPR[Luna]\lipspd[0.6]Oh... look at that!
\NPL[エリザベータ]\lipspd[0.6]あれが大地の宝珠だよ…	\NPL[Elisabeta]\lipspd[0.6]That's the Earth Orb...
\iカチッと何かが外れる音がした	\iThere was the sound of something coming off.
\NPL[ベムス]さぁ、お安くしときますから！	\NPL[Bemus]Come on, I'll give you a discount!
\NPL[ベムス]ホッホッホッ、\w[1]これで旅も安心ですね！\n\n\n買ったものはちゃんと装備をしないと意味ないですからね。\w[1]\nホッホッホッ。	Hohoho \w[1]Now you're ready to travel!\n\n\nYou have to equip what you bought properly, otherwise they're useless.\w[1]\nHohoho
\NPL[ベムス]村の外は本当に危ないですよ！\!\nお母さんを悲しませないためにも…	\NPL[Bemus]It's really dangerous outside the village! \!\nDon't make your mother sad...
\NPL[ベムス]\z[150]買っていきなさい！	\NPL[Bemus]\z[150]Buy something here!
\NPL[ルナ]\lipspd[0.6]買うまで逃がしてくれなさそうだよ…	\NPL[Luna]\lipspd[0.6]I don't think he' gonna let us go until we buy...
\NPL[ベムス]ところで…\w[2]\n宝珠…\w[1]とやらを取りに行くって\n小耳にはさみましたけど…\!	\NPL[Bemus]By the way... I overheard that you're going to get \w[2]\nthe Orb\w[1]...\!
\NPL[ベムス]\z[150]本当なんですか？	\NPL[Bemus]\z[150]Is it true?
\NPR[ルナ]\lipspd[0]\c[000080]ケン…\wバカ正直なんだから…	\NPR[Luna]\lipspd[0]\c[000080]Ken...\wYou're being ridiculously honest...
\NPL[ベムス]ホッホッホッ…\w[3]\nそうなんですか…それは大変そうですな。	\NPL[Bemus]Hohoho...\w[3]\nWell... that sounds like a lot of work.
\NPL[ベムス]ホッホッホッ…\w[3]\n勘違いでしたか…	\NPL[Bemus]Hohoho...\w[3]\nI must be mistaken...
\NPL[ベムス]ま、無事にお帰りになられることを、このベムスも祈っておりますよ。\w[2]\n\z[150]ホッ\w[1]ホッ\w[1]ホッ…	\NPL[Bemus]Well, Bemus here wishes you a safe trip home. \w[2]\n\z[150]Ho\w[1]ho\w[1]ho...
\NPR[ルナ]\lipspd[0]\c[000080]なーんかやな感じ……	\NPR[Luna]\lipspd[0]\c[000080]What's with him? He's weird....
\NPL[ベムス]ホッホッホッ\w[2]さぁこれで準備万端\!\n行ってらっしゃい。\n	\NPL[Bemus]Hohoho, \w[2]You are all set. \!\nHave a good day.
これはなんだろう？	What's this?
ケン\nよく大地の宝珠を手に入れてくれた。\n\nお前は宝珠の剣士。\n全ての宝珠を護り、\nタマズサの野望を砕かねばならぬ宿命を背負っているのだ。\n\nまずは、あと7人いる宝珠の剣士たちを探せ。\nただ、そのうちの一人は\nおそらくすでに出会っているだろうがな。\n\n私は一時身を隠すが、お前たちが窮地に陥った時\n必ず戻ってくる。\n行け。ケン。	Ken\nYou did well to get the Earth Orb.\n\nYou are the Swordsman of the Orbs.\nYou have a destiny to protect all the Orbs \nand destroy Tamazusa's ambitions.\n\nThere are seven more swordsmen of the Orbs.\nYou must find them.\nAlthough, one of them has probably already met you.\n\nI'll go into hiding for a while, but I'll be back \nwhen you're in trouble.\nGo, Ken...
\NPL[エリザベータ]\lipspd[0.2]ケン…\wサイラスは……	\NPL[Elisabeta]\lipspd[0.2]Ken...\wCyrus probably left in searching for...
\NPR[ルナ]\lipspd[0.6]な、なに…？	\NPR[Luna]\lipspd[0.6]What the...?
\NPL[エリザベータ]\lipspd[0.6]早く外へ！	\NPL[Elisabeta]\lipspd[0.6]Come on, move out!
\NPR[ルナ]\lipspd[0.2]あれ、サイラスいないじゃん…	\NPR[Luna]\lipspd[0.2]Hey, Cyrus isn't here...
\c[FFFFFF]サンプルゲームはここまでです。\nマップエディターでゲームに登場した各マップを見ると\nこの先ゲームを広げていくヒントが見つかります。\nネイテイ村の洞窟の前にいる男をどかすイベントを組んでみたり、砂漠の別ルートへ進めるようにしてみたり。\n\nここまでのゲームのつくりを参考にしつつ\nこの先のケンの物語を創り進めてみてください。	\c[FFFFFF]This is the end of the sample game.\nIf you look at each map that has appeared in the game in the map editor, you will find hints on how to develop the game further.\nYou could try to set up an event to move the man in front of the cave in the village of Neitei out of the way, or allow the player to proceed to another route in the desert.\n\nWe hope that you will use the game's story so far \nas a guide in creating your own Ken story.
\NPL[サイラス]\lipspd[0.5]おぉ、やっと来たか！	\NPL[Cyrus]\lipspd[0.5]Oh, you're finally here!
\NPL[サイラス]\lipspd[0.5]ケン、村の西にあるネムの滝の祭壇から\n精霊の剣を取ってきてくれ。	\NPL[Cyrus]\lipspd[0.5]Ken, go get the Spirit Sword from the altar at the Nem Falls, west of the village.
\NPL[サイラス]\lipspd[0.5]あの剣が抜けるのか？って顔をしてるな…	\NPL[Cyrus]\lipspd[0.5]You look like you're saying, "That sword gonna be pulled out?" 
\NPL[サイラス]\lipspd[0.5]大丈夫…\!\n今日は抜けるはずだ。	\NPL[Cyrus]\lipspd[0.5]You'll be fine...\!\nYou can pull it out today.
\NPL[サイラス]\lipspd[0.5]ああ、途中魔物と会うかもしれないから\nこれも持っていきなさい。	\NPL[Cyrus]\lipspd[0.5]Oh, and take this with you in case you meet any monsters on the way.
ケンは薬草とポーション、復活の羽を手に入れた！	Ken got herbs and potions, and resurrection feathers!
\NPL[サイラス]\lipspd[0.5]じゃ、よろしくな。	\NPL[Cyrus]\lipspd[0.5]Well, good luck.
\NPL[サイラス]\lipspd[0.5]ネムの滝は\i村の西\iにある大きな滝だ。\!\nお前も子供のころ、よく魚釣りをして遊んだろう？	\NPL[Cyrus]\lipspd[0.5]Nem Falls is a large waterfall \iwest of the village\i. \!\nYou used to fish there when you were a kid, didn't you?
\NPL[サイラス]\lipspd[0.5]よくやった。	\NPL[Cyrus]\lipspd[0.5]Good job.
\NPL[サイラス]\lipspd[0.5]次は村の東、灼熱の洞窟を越えて\!\nその先にある「大地の宝珠」を取ってくるんだ。\n\n結構遠いから、気をつけていけよ！	\NPL[Cyrus]\lipspd[0.5]Next, go through the scorching cave east of the village and get the Earth Orb beyond it.\n\nIt's pretty far, so be careful out there!
\NPR[ルナ]\lipspd[0.5]急になんなの…？\!\n人使いが荒いんだから…	\NPR[Luna]\lipspd[0.5]Why does he ask for help all of a sudden...? \!\nHe works us too hard...
\NPL[サイラス]\lipspd[0.5]ルナは足手まといにならんようにな。	\NPL[Cyrus]\lipspd[0.5]Luna, try not to slow him down.
\NPR[ルナ]\lipspd[0.6]なるわけないでしょ!!	\NPR[Luna]\lipspd[0.6]It's not going to happen!
\NPL[サイラス]\lipspd[0.5]頼んだぞ…\w[1]ケン。\w[3]\^	\NPL[Cyrus]\lipspd[0.5]You can do it....\w[1]Ken\w[3]\n\^
\NPL[サイラス]\lipspd[0.5]大地の宝玉は東の洞窟の先にある。\!\nかなり危険な場所だぞ。	\NPL[Cyrus]\lipspd[0.5]The Earth Orb is located beyond the eastern cave. \!\nIt's a very dangerous place.
サイラス先生にベムスのことを伝えないと！	We have to tell Mr. Cyrus about Bemus!
\NPL[エリザベータ]\lipspd[0.6]早くサイラスのところへ行かないと！	\NPL[Elisabeta]\lipspd[0.6]We have to get to Cyrus as soon as possible!
グレイ\n「やあ　ケン。　サイラス先生に用事かい？\n　そういえば　さっきエリザベータがキミ探していたぜ。	Gray\n"Hello, Kens. You wanted to see Mr. Cyrus?\nBy the way, Elisabeta was looking for you earlier."
\i都合によりしばらく休業します ~ベムス商店~	\iWe're closed for a while for some reason ~Bemus Shop~
\iこの先砂漠地帯から灼熱の洞窟へ	\iBeyond this, from the desert to the scorching caves
\NPL[グレイ]やあ　ケン\!\nサイラスさんなら中でお待ちだよ。	\NPL[Gray]Hey, Ken\!\nMr. Cyrus is waiting for you inside.
ケン	Ken
ネイテイ村に住む青年。勇者だった父に憧れ、日々兼の修行に励んでいる。	A young man living in the village of Neitei. He admires his father, who was a brave warrior, and works hard every day to train himself as a warrior.
ルナ	Luna
ケンの幼馴染の魔法少女。ケンは妹だと思っているが、ルナは自分が姉だと思っている。	A magical girl who is Ken's childhood friend. Ken thinks of her as a younger sister, but Luna thinks she is an older sister.
エリザベータ	Elisabeta
謎の多い女剣士。サイラスの知り合いのようだが…。	A female swordsman with many mysteries. She seems to be an acquaintance of Cyrus, but...
サイラス	Cyrus
ケンをはじめネイテイ村の若者たちの教師役。気さくだが、少し謎めいた雰囲気を持つ。村のみんなには見せない過去の事情があるようだ。	He plays the role of a teacher for Ken and other young people in Neitei village.  He is friendly but a bit enigmatic.  There seems to be some circumstances in the past that he doesn't show to everyone in the village.
ベムス	Bemus
ネイテイ村唯一の商店を営む男。「ホッホッホッ」と笑うのがクセ。	A man who runs the only store in the village of Neitei. He has a habit of laughing and saying, "Hohoho".
スライム	Slime
ドロドロした粘液状態のモンスター。知性を持たない。	A monster in a sludgy, mucousy state. It has no intelligence.
スライムラヴァ	Slime Lava
高熱の溶岩地域に住む、ドロドロした粘液状態のモンスター。知性を持たない。	A monster in a sludgy, mucousy state. It has no intelligence.
オオコウモリ	Giant Bat
暗闇を好む吸血コウモリ。	A vampire bat that prefers the dark.
カニバルフラワー	Cannibal Flower
魔力の高い土地に咲く人食い花	A man-eating flower that blooms in a land with high magic power.
キラービー	Killer Bee
群れを成して襲い来る毒バチ。	Venomous bees attack in swarms.
コーラルスネーク	Coral Snake
溶岩地帯にすむ毒蛇。炎属性の魔法はあまり効かない。	A viper that lives in lava fields. It is resistant to fire magic.
キングコブラ	King Cobra
猛毒を持つ大型の蛇。\n	A large snake with a deadly poison.
サンドスネーク	Sand Snake
砂漠に住む毒蛇。	A viper that lives in the desert.
ゴブリン	Goblin
ゴブリンの中でも特に屈強な個体。	A particularly strong individual among goblins.
小柄な緑色の鬼。	A small green demon.
ダイアウルフ	Dire Wolf
硬く輝く毛皮を持つ狼。	A wolf with hard, shiny fur.
スケルトンファイター	Skeleton Fighter
骨の髄まで闘いが染みついてしまった戦士のむくろ。	The corpse of a warrior whose fight has seeped into the marrow of his bones.
サキュバス	Succubus
喜びの死を招く魔物。	A death-dealing demon of joy.
ウィザード	Wizard
魔術を操る意義までは理解できなかった者。	Those who did not understand even the significance of manipulating magic.
メイジ	Mage
闇に落ちた魔法学者のなれの果て。	The end of a magician who fell into darkness.
ゴーレム	Golem
土から生まれ、土にかえる心無き人造人間。	A mindless man-made human being born of the earth and returned to the earth.
メタルゴーレム	Metal Golem
魔力で動く金属の人形。	A metal doll powered by magic.
エンシェントドラゴン	Ancient Dragon
神の力を持つと言われる龍の一族。	A family of dragons said to possess divine powers.
ホワイトウルフ	White Wolf
雪原に生息する狼。	A wolf that lives in the snowfield.
魔法使い	Wizard
闇の力に魅せられてしまった魔法使い。	A wizard who has become fascinated with the power of darkness.
エレメント	Element
この世に未練を残した死者の魂。	The souls of the dead who have left their regrets in this world.
ウィルオーウィスプ	Will-O-Wisp
醜い情念の炎をまとった死者の魂。	The souls of the dead clad in the flames of ugly passions.
盗賊	Thief
旅人を狙って金品を奪う荒くれ者。	A roughneck who targets travelers and robs them of their money.
大魔道士	Grand Mage
闇の力を操る魔法使い。	A mage who controls the power of darkness.
3Dモンスター	3D Monsters
アイアンゴーレム	Iron Golem
アイアンシザーズ	Iron Scissors
アイススライム	Ice Slime
ストーンゴーレム	Stone Golem
レッドゴーレム	Red Golem
エビルスピリッツ	Evil Spirit
ウィザード	Wizard
ドブネズミ	Giant Rat
ゴブリンキング	Goblin King
ゾンビ	Zombie
闇の力で動く死体。	A corpse moved by the power of darkness.
ナイフ	Knife
父から誕生日にもらった、小ぶりのナイフ。	A small knife that his father gave him for his birthday.
サバットナイフ	Sabbat Knife
精霊の剣	The Spirit Sword
勇者の資質がないと、手に持つことすらできない精霊の剣。	Without the qualities of a hero, it is impossible to even hold the sword of the spirit in their hands.
#武器	#Weapons
薬草	Medical Herb
HPを回復する薬草。ちょっと苦い。	A medicinal herb that restores HP. A little bitter.
ポーション	Potion
HPをかなり回復する飲み薬。少し甘い。	A drink that restores a lot of HP. A little sweet.
マジックハーブ	Magical Herb
MPを回復する薬草。かなり苦い。	A medicinal herb that restores MP. Very bitter.
マジックポーション	Magical Potion
